customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3049-APLEE,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),32.0,2312.87,0
8158-IICSP,Male,0,No,Yes,8,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),73.2,589.62,0
3255-CTXVX,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.98,93.77,1
2648-HDFHT,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,113.24,1592.7,1
9445-CPYCY,Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,102.91,1020.66,1
3961-NRBVC,Female,0,No,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.17,1790.9,1
1956-IDADA,Female,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),102.28,6247.57,0
5493-UPTXH,Male,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,85.26,2054.16,0
2218-QAPLS,Female,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),108.34,2172.21,1
4446-VNFFM,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),110.16,655.83,0
9754-VHBUA,Male,0,No,Yes,7,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,59.37,418.99,1
8022-AEPSD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,104.29,1363.69,0
5642-QQLNU,Male,0,No,Yes,53,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,86.55,4584.31,0
2060-XQNUC,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,107.63,2155.46,1
1699-ATUWA,Female,1,Yes,No,16,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.14,1120.5,1
4327-CRYJV,Female,0,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.01,1808.25,0
1569-CHNXR,Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),36.04,1544.46,0
8455-OVWBJ,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),93.15,2510.67,0
2409-ZQHAI,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.81,2905.84,0
8343-GJWZC,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.6,2242.33,1
2841-YXMZG,Male,1,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.86,469.89,1
8992-DMTAH,Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,119.64,115.41,0
7655-NPNLS,Female,0,No,No,9,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.38,682.43,0
7614-OBBWV,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),100.33,100.47,1
5146-YZVZZ,Female,0,No,No,12,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),75.64,898.9,0
8509-QTJFO,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,110.5,440.58,1
3491-EAHUL,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,103.35,1250.03,1
1004-GDFMT,Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,107.99,1303.75,0
5142-CWHTP,Female,1,Yes,No,7,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.49,716.75,0
5465-JSQXS,Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),102.53,2565.64,0
6177-WZEZU,Female,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,115.42,1493.0,0
6949-WILUA,Female,0,No,No,53,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),87.97,4670.39,1
2081-ZAOBV,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),111.83,109.03,1
1559-YHMUA,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),88.77,1058.65,0
4343-GEVWC,Male,0,Yes,Yes,35,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,83.24,2906.16,0
4147-ZPSEV,Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,85.86,1380.71,1
3744-NEOQN,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,43.37,3125.33,0
7617-PUGDA,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,100.07,392.43,0
8421-EWZJV,Female,1,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,108.55,983.92,1
3849-TJZSZ,Male,0,Yes,No,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,103.1,201.31,1
5611-PXPWB,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.15,194.87,0
7303-TXLRC,Male,0,Yes,Yes,26,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.4,2203.61,1
3427-AASKE,Female,0,No,No,16,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,91.42,1468.52,1
6387-CAAHJ,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,109.81,442.7,1
2066-LMLNB,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,77.94,1174.5,0
9945-CWQZH,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),69.03,3107.12,0
7748-ZJZBS,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),57.65,747.6,1
9808-GDZUR,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,96.08,86.43,1
1412-XDYUY,Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,109.51,99.51,1
9867-JEIXC,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),91.02,1191.79,0
2122-PDRQG,Male,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,95.29,1993.13,1
3143-XWELQ,Male,0,No,No,52,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),85.22,4433.4,0
4766-MWYCI,Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),87.52,6302.78,0
6917-QQTPY,Female,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,109.14,7860.09,0
2365-MSQDL,Female,0,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),17.87,339.64,1
8400-SLIGN,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,102.42,111.35,1
3782-TSZOP,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,105.79,525.95,1
5980-ECLYT,Male,1,No,Yes,13,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),87.19,1129.62,1
6588-DUWPY,Male,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,121.3,6062.28,0
2062-MUJZG,Female,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.87,36.99,0
7541-ZECWK,Female,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.83,562.57,0
9010-ROLIJ,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,132.29,3304.18,0
1953-LQFGN,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),67.74,533.16,1
2191-JIRZB,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),68.44,608.3,1
2540-EFSHP,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,102.84,1136.63,1
2365-TQGYM,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,116.84,809.81,1
4141-SLVGJ,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),97.91,1267.08,1
6977-SGCMM,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),93.93,373.23,1
5849-ZTHIG,Male,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.85,470.12,1
4072-CMYQY,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,70.75,62.27,1
1823-AFUFZ,Male,0,No,No,12,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,77.5,923.9,1
4627-MMOUP,Male,0,No,No,29,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.53,3112.35,0
6348-DCSTY,Male,1,Yes,Yes,16,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),86.37,1381.22,1
7190-IQNOA,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,93.86,1687.54,1
9053-CPWYK,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),92.29,1298.17,0
2353-PHFLX,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,100.12,2098.05,0
1667-UHZDZ,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,110.8,657.32,0
4719-ZREID,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,118.79,588.72,1
4775-VQIAU,Male,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,116.71,7932.58,0
8891-MPMNC,Female,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,35.56,499.6,0
4324-FRSEO,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,120.83,5072.59,0
1009-XRMEW,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),95.92,5653.71,0
2015-AVARO,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),102.97,2257.52,1
8449-YVQMA,Male,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,111.9,896.95,1
2633-ICAUP,Female,0,No,Yes,27,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,63.0,1709.75,1
3000-EEFCU,Female,1,No,No,13,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,77.4,1000.36,1
8190-EUEJJ,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,99.04,7123.4,1
5178-QUNIN,Male,1,Yes,Yes,40,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),63.0,2528.15,0
3048-SMMDA,Female,0,No,No,40,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Mailed check,85.51,3422.31,0
5976-HBHGZ,Male,0,No,No,21,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,76.14,1596.16,1
1249-BVVCR,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.18,27.37,0
5363-AVLEY,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,90.58,3809.51,0
7544-POWOE,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),42.99,47.35,0
7996-NBKSG,Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),91.26,281.73,0
7881-FRBRO,Female,0,No,No,43,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,76.53,3292.15,0
8002-SBTYF,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),119.51,593.91,0
8648-XOWJS,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,103.71,4556.6,0
3180-DJXQJ,Male,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,104.39,620.76,1
3832-TXEBF,Male,0,Yes,No,35,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,81.81,2863.6,1
6569-MKKPK,Male,1,No,No,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.52,1960.31,1
2906-OYWWP,Male,0,Yes,Yes,26,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),69.57,1816.85,0
7238-KVPHD,Male,0,No,Yes,43,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,85.09,3658.57,0
9472-CCRZS,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.53,2404.94,0
8570-UERJV,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.51,173.38,0
7981-AEILZ,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,117.5,3181.51,1
3593-QNZMI,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.42,2400.82,0
7937-YOYVO,Male,0,Yes,No,11,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.28,757.46,1
7493-KPQZD,Male,0,Yes,Yes,9,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),83.68,761.7,0
2276-TOOXV,Female,0,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.79,516.09,1
9717-ZWNXB,Male,0,No,Yes,12,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,78.78,937.37,1
1364-ZNXSG,Female,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.9,227.87,1
6122-OWNKO,Female,0,No,No,4,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.9,334.81,1
2531-MRZFC,Male,1,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,106.66,529.68,1
2906-OYWEJ,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,44.65,1292.16,0
2062-YQGVZ,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,111.23,6674.27,1
1125-LYQMT,Male,0,No,Yes,39,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),91.1,3561.61,0
7168-DJCIM,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),111.6,1562.17,0
7371-OVBOH,Male,0,No,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),135.17,2431.78,1
7891-SJIEF,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.57,2316.25,1
3739-ZBXMF,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),99.48,1982.4,1
4812-YAUVU,Female,0,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,91.47,6585.46,0
2733-FWPDK,Female,1,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),105.64,5497.74,1
4517-XWIWC,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.46,46.32,1
9434-HEDXF,Male,0,Yes,No,43,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),103.53,4456.83,1
8489-TKDOF,Female,0,No,No,2,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.1,123.92,1
1117-QXFSY,Male,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.89,2347.71,1
5289-OKHZS,Female,1,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,107.48,864.28,1
7316-LEFZV,Male,0,No,Yes,35,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),68.96,2411.73,0
9915-ATQLO,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.22,91.6,1
